"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Pembroke Pines","Pembroke Pines","FL","Florida","12011","Broward","26.0128","-80.3382","171979","2031","shape","FALSE","TRUE","America/New_York","2","33029 33028 33025 33024 33026 33023 33027","1840015141"
"Medford","Medford","OR","Oregon","41029","Jackson","42.3372","-122.8540","171660","1224","shape","FALSE","TRUE","America/Los_Angeles","2","97504 97501","1840020076"
"Murfreesboro","Murfreesboro","TN","Tennessee","47149","Rutherford","35.8490","-86.4121","169243","869","shape","FALSE","TRUE","America/Chicago","2","37132 37130 37129 37128 37127","1840014495"
"Cary","Cary","NC","North Carolina","37183","Wake","35.7819","-78.8195","169177","1102","shape","FALSE","TRUE","America/New_York","2","27560 27518 27519 27511 27513","1840016196"
"Lafayette","Lafayette","IN","Indiana","18157","Tippecanoe","40.3991","-86.8593","168164","953","shape","FALSE","TRUE","America/Indiana/Indianapolis","2","47909 47905 47904 47901","1840008354"
"Corona","Corona","CA","California","06065","Riverside","33.8616","-117.5649","168112","1625","shape","FALSE","TRUE","America/Los_Angeles","2","92882 92880 92881 92879","1840019305"
"Santa Cruz","Santa Cruz","CA","California","06087","Santa Cruz","36.9789","-122.0346","165933","1970","shape","FALSE","TRUE","America/Los_Angeles","2","95065 95064 95060 95062","1840021579"
"Spring Hill","Spring Hill","FL","Florida","12053","Hernando","28.4798","-82.5300","165526","732","shape","FALSE","FALSE","America/New_York","2","34608 34609 34604 34606","1840014105"
"Muskegon","Muskegon","MI","Michigan","26121","Muskegon","43.2281","-86.2562","164136","1018","shape","FALSE","TRUE","America/Detroit","2","49442 49443 49440 49441","1840002870"
"Manchester","Manchester","NH","New Hampshire","33011","Hillsborough","42.9848","-71.4447","163488","1312","shape","FALSE","TRUE","America/New_York","2","03109 03104 03101 03103 03102","1840002983"
"Marysville","Marysville","WA","Washington","53061","Snohomish","48.0809","-122.1561","162700","1295","shape","FALSE","TRUE","America/Los_Angeles","2","98271 98270","1840019789"
"Springfield","Springfield","IL","Illinois","17167","Sangamon","39.7709","-89.6540","162348","726","shape","FALSE","TRUE","America/Chicago","2","62711 62712 62629 62702 62703 62701 62706 62707 62704","1840009517"
"Frederick","Frederick","MD","Maryland","24021","Frederick","39.4337","-77.4141","158866","1158","shape","FALSE","TRUE","America/New_York","2","21705 21702 21701","1840005710"
"Hayward","Hayward","CA","California","06001","Alameda","37.6328","-122.0766","158817","1338","shape","FALSE","TRUE","America/Los_Angeles","2","94541 94542 94544 94545 94587","1840020293"
"Alexandria","Alexandria","VA","Virginia","51510","Alexandria","38.8185","-77.0861","158309","4092","shape","FALSE","TRUE","America/New_York","2","22302 22301 22304 22305 22311 22314","1840003837"
"Bayamón","Bayamon","PR","Puerto Rico","72021","Bayamón","18.3794","-66.1635","157517","2250","shape","FALSE","FALSE","America/Puerto_Rico","2","00959 00957 00956 00934 00960 00961","1630035622"
"Port Arthur","Port Arthur","TX","Texas","48245","Jefferson","29.8554","-93.9264","156988","273","shape","FALSE","TRUE","America/Chicago","2","77655 77640 77642","1840020919"
"Lakewood","Lakewood","CO","Colorado","08059","Jefferson","39.6977","-105.1172","155733","1383","shape","FALSE","TRUE","America/Denver","2","80232 80235 80214 80215 80227 80226 80228","1840020198"
"Fredericksburg","Fredericksburg","VA","Virginia","51630","Fredericksburg","38.2992","-77.4872","155414","1073","shape","FALSE","TRUE","America/New_York","2","22401","1840003845"
"Leesburg","Leesburg","FL","Florida","12069","Lake","28.7672","-81.8962","154301","232","shape","FALSE","TRUE","America/New_York","2","34748 34762 34736","1840015083"
"Hollywood","Hollywood","FL","Florida","12011","Broward","26.0293","-80.1679","153834","2177","shape","FALSE","TRUE","America/New_York","2","33024 33021 33023 33022 33020 33004 33316 33312 33019","1840015144"
"Palmdale","Palmdale","CA","California","06037","Los Angeles","34.5944","-118.1057","153240","557","shape","FALSE","TRUE","America/Los_Angeles","2","93591 93552 93551 93550","1840020502"
"Macon","Macon","GA","Georgia","13021","Bibb","32.8065","-83.6974","153026","236","shape","FALSE","TRUE","America/New_York","2","31210 31052 31211 31213 31216 31217 31220 31207 31206 31204 31201","1840043455"
"Kansas City","Kansas City","KS","Kansas","20209","Wyandotte","39.1235","-94.7443","153014","473","shape","FALSE","TRUE","America/Chicago","2","66101 66102 66103 66104 66105 66106 66109 66160 66112 66111 66115 66118","1840001626"
"Champaign","Champaign","IL","Illinois","17019","Champaign","40.1142","-88.2737","152940","1486","shape","FALSE","TRUE","America/Chicago","2","61822 61820 61821","1840007239"
"Sunnyvale","Sunnyvale","CA","California","06085","Santa Clara","37.3836","-122.0255","152569","2670","shape","FALSE","TRUE","America/Los_Angeles","2","94085 94086 94087 94089","1840021573"
